Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Andreas Holowski - Adam Rduch;16;-0,40;-1,85;1,45;-0,36;7;  2,86;9;0,71;5;-3,04;2;;3b
Klaus Reps - Sebastian Reim;32;-0,41;-0,46;0,05;-0,54;22;  1,36;10;-0,90;10;-0,24;12;;1
Malgorzata Schröder - Michael Schröder;79;-0,41;-0,42;0,01;-0,12;47;  0,20;32;-0,43;28;0,33;19;;2
Joachim Parsch - Martin Schrödel;32;-0,49;0,38;-0,87;-0,52;13;  -1,11;19;-0,71;6;-0,35;7;;1
Alexander Rapoport - Alexei Vinogradov;80;-0,57;-0,24;-0,33;0,03;37;  -0,64;43;-0,00;19;0,07;18;;2
Jan Turski - Torsten Kistner;64;-0,57;-0,32;-0,26;-0,39;33;  -0,12;30;-1,38;14;0,34;19;;3c
Jörg Fritsche - Michael Gromöller;16;-0,65;0,28;-0,93;0,47;8;  -2,32;8;0,29;5;0,77;3;;1
Herbert Thieme - Lydia Engler;48;-0,65;0,45;-1,10;-1,28;30;  -0,80;18;-1,41;18;-1,08;12;;3c
Lutz Narajek - Petra Eleftherakis;32;-0,75;0,06;-0,81;0,45;13;  -1,67;19;0,47;5;0,44;8;;3c
Krzysztof Dec - Dr. Gabriele Krämer;48;-1,31;-0,73;-0,58;0,17;20;  -1,12;28;0,10;12;0,29;8;;2
Helga Stoermer - Lutz Narajek;80;-1,32;-0,68;-0,64;-0,52;43;  -0,78;37;0,76;25;-2,30;18;;3c
Heide Uhrig - Torsten Kistner;64;-1,53;-0,40;-1,13;-1,61;31;  -0,71;32;0,21;12;-2,76;19;;3c
Rudi Salzer - Willi Neidow;48;-1,58;-0,45;-1,13;-1,59;22;  -0,80;24;-1,88;10;-1,34;12;;3a
Henning Bohnsack - Vitaliy Khanukov;32;-1,59;-1,36;-0,23;-0,63;18;  0,29;14;-1,47;8;0,03;10;;3c
Peter Reuters - Adam Rduch;16;-1,90;-0,77;-1,14;-0,90;7;  -1,32;9;-4,18;2;0,42;5;;3b

